file,s,h:m:s,max_rss,max_vms,max_uss,max_pss,io_in,io_out,mean_load,cpu_time
results/hc_test_benchmarks/r0012/120_1.bmk,761.6385,0:12:41,3685.5,20240.11,3529.59,3583.67,540.07,14.45,193.41,1473.35
results/hc_test_benchmarks/r0012/120_10.bmk,878.9755,0:14:38,3650.86,20216.42,3503.72,3547.55,138.48,14.3,200.26,1760.98
results/hc_test_benchmarks/r0012/120_2.bmk,797.9403,0:13:17,3589.36,20225.71,3442.26,3486.11,485.04,13.42,196.87,1571.2
results/hc_test_benchmarks/r0012/120_3.bmk,869.125,0:14:29,4028.4,20213.27,3904.12,3961.12,387.45,14.34,197.03,1712.76
results/hc_test_benchmarks/r0012/120_4.bmk,873.5877,0:14:33,3833.13,20235.32,3676.83,3724.1,109.64,13.73,189.04,1652.12
results/hc_test_benchmarks/r0012/120_5.bmk,800.8996,0:13:20,3397.05,20220.36,3256.07,3302.18,84.46,13.44,193.71,1552.12
results/hc_test_benchmarks/r0012/120_6.bmk,745.3555,0:12:25,2766.46,20227.78,2627.52,2684.31,331.71,13.3,188.58,1405.6
results/hc_test_benchmarks/r0012/120_7.bmk,840.4902,0:14:00,3887.69,20225.5,3741.29,3788.48,378.78,14.41,195.78,1646.07
results/hc_test_benchmarks/r0012/120_8.bmk,897.4425,0:14:57,3830.22,20215.53,3686.95,3733.13,200.37,13.91,192.3,1726.23
results/hc_test_benchmarks/r0012/120_9.bmk,942.3349,0:15:42,3768.87,20223.39,3620.09,3660.88,113.46,13.56,193.98,1828.55
results/hc_test_benchmarks/r0012/144_1.bmk,990.3956,0:16:30,3887.96,20286.53,3713.61,3772.4,457.72,16.8,193.08,1912.76
results/hc_test_benchmarks/r0012/144_10.bmk,1060.627,0:17:40,3920.59,20265.92,3750.81,3819.34,411.47,15.96,192.92,2046.88
results/hc_test_benchmarks/r0012/144_2.bmk,1177.4289,0:19:37,4222.96,20263.88,4057.75,4118.18,207.5,16.99,191.01,2249.51
results/hc_test_benchmarks/r0012/144_3.bmk,930.4633,0:15:30,3966.04,20290.28,3782.85,3825.91,451.7,16.63,187.85,1748.51
results/hc_test_benchmarks/r0012/144_4.bmk,1117.4133,0:18:37,3190.09,20265.05,3027.89,3104.05,495.7,16.64,196.67,2198.17
results/hc_test_benchmarks/r0012/144_5.bmk,1085.4766,0:18:05,3232.41,20263.25,3076.2,3149.42,487.51,16.23,194.17,2108.18
results/hc_test_benchmarks/r0012/144_6.bmk,1122.5345,0:18:42,3220.1,20255.73,3066.51,3138.4,444.13,15.83,193.37,2171.21
results/hc_test_benchmarks/r0012/144_7.bmk,895.0658,0:14:55,2975.16,20295.03,2805.26,2885.26,438.41,16.99,186.22,1667.33
results/hc_test_benchmarks/r0012/144_8.bmk,996.1438,0:16:36,3931.33,20280.46,3763.37,3829.59,398.46,16.88,192.72,1920.39
results/hc_test_benchmarks/r0012/144_9.bmk,1073.58,0:17:53,3762.21,20269.39,3589.91,3670.86,397.88,16.44,198.32,2129.76
results/hc_test_benchmarks/r0012/16_1.bmk,83.7293,0:01:23,1878.09,20027.35,1825.96,1836.35,122.59,3.93,192.62,161.58
results/hc_test_benchmarks/r0012/16_10.bmk,48.5151,0:00:48,1678.06,20040.5,1617.99,1630.19,85.96,3.98,221.15,107.95
results/hc_test_benchmarks/r0012/16_2.bmk,74.8467,0:01:14,1845.82,20034.47,1789.28,1800.94,14.46,3.62,148.82,112.06
results/hc_test_benchmarks/r0012/16_3.bmk,58.2993,0:00:58,1345.13,20039.81,1289.79,1302.48,170.59,3.72,186.39,108.71
results/hc_test_benchmarks/r0012/16_4.bmk,87.509,0:01:27,1870.9,20032.42,1817.43,1829.01,69.12,3.86,179.18,157.41
results/hc_test_benchmarks/r0012/16_5.bmk,67.4144,0:01:07,1523.29,20033.33,1465.99,1476.99,101.48,3.59,160.91,108.99
results/hc_test_benchmarks/r0012/16_6.bmk,75.5448,0:01:15,1776.64,20037.58,1725.18,1739.39,85.47,3.68,160.01,121.36
results/hc_test_benchmarks/r0012/16_7.bmk,75.3587,0:01:15,1778.61,20030.33,1723.12,1734.6,16.13,3.65,145.62,110.38
results/hc_test_benchmarks/r0012/16_8.bmk,95.7754,0:01:35,1372.64,20034.37,1319.57,1332.8,118.42,3.93,171.25,164.5
results/hc_test_benchmarks/r0012/16_9.bmk,83.3219,0:01:23,1743.88,20033.45,1686.83,1699.21,117.54,4.05,203.16,169.77
results/hc_test_benchmarks/r0012/168_1.bmk,1296.3738,0:21:36,4144.85,20319.69,3947.64,4028.35,515.53,18.72,189.34,2455.04
results/hc_test_benchmarks/r0012/168_10.bmk,1276.0439,0:21:16,4267.04,20314.98,4123.72,4181.07,362.92,19.98,189.41,2417.25
results/hc_test_benchmarks/r0012/168_2.bmk,1260.1334,0:21:00,4083.52,20325.68,3883.44,3946.47,448.02,19.21,185.55,2338.85
results/hc_test_benchmarks/r0012/168_3.bmk,1347.5417,0:22:27,4252.31,20318.48,4055.88,4116.2,131.12,19.57,186.58,2514.86
results/hc_test_benchmarks/r0012/168_4.bmk,1287.4296,0:21:27,4002.95,20321.17,3806.34,3878.69,415.82,20.35,196.83,2534.51
results/hc_test_benchmarks/r0012/168_5.bmk,1315.2148,0:21:55,4255.15,20316.54,4061.11,4119.13,477.57,19.45,194.12,2553.33
results/hc_test_benchmarks/r0012/168_6.bmk,1299.4606,0:21:39,4203.41,20318.96,4007.19,4065.82,475.79,19.88,192.99,2508.23
results/hc_test_benchmarks/r0012/168_7.bmk,1264.4519,0:21:04,4098.2,20324.71,3899.43,3963.87,364.99,20.44,194.23,2456.23
results/hc_test_benchmarks/r0012/168_8.bmk,1389.8435,0:23:09,4057.73,20298.98,3870.65,3944.41,376.82,18.92,191.57,2663.09
results/hc_test_benchmarks/r0012/168_9.bmk,1284.078,0:21:24,4135.27,20314.36,4040.51,4083.14,444.34,20.47,195.09,2505.45
results/hc_test_benchmarks/r0012/192_1.bmk,1626.6321,0:27:06,4845.2,20361.03,4648.24,4723.09,277.75,23.67,194.8,3169.03
results/hc_test_benchmarks/r0012/192_10.bmk,1465.9425,0:24:25,4438.75,20366.53,4424.85,4428.19,530.24,23.3,186.46,2734.04
results/hc_test_benchmarks/r0012/192_2.bmk,1552.3557,0:25:52,4621.19,20372.68,4411.46,4492.39,223.83,23.32,185.9,2886.18
results/hc_test_benchmarks/r0012/192_3.bmk,1625.7836,0:27:05,4575.89,20363.14,4367.56,4436.7,358.6,23.27,190.17,3092.07
results/hc_test_benchmarks/r0012/192_4.bmk,1504.003,0:25:04,4674.7,20367.97,4550.97,4608,344.37,23.04,186.66,2807.79
results/hc_test_benchmarks/r0012/192_5.bmk,1538.6047,0:25:38,4414.14,20370.33,4285.02,4344.67,245.21,23.54,191.62,2948.93
results/hc_test_benchmarks/r0012/192_6.bmk,1758.1276,0:29:18,5372.7,20349.12,5161.91,5237.69,67.55,22.86,185.12,3255.25
results/hc_test_benchmarks/r0012/192_7.bmk,1664.3549,0:27:44,5052.85,20365.88,4835.49,4913.99,83.23,22.47,183.35,3052.28
results/hc_test_benchmarks/r0012/192_8.bmk,1592.122,0:26:32,4301.22,20365.91,4093.96,4162.95,59.05,22.72,180.89,2880.57
results/hc_test_benchmarks/r0012/192_9.bmk,1573.3305,0:26:13,4224.52,20358.12,4037.64,4104,187.77,22.51,184.64,2905.37
results/hc_test_benchmarks/r0012/216_1.bmk,1918.9561,0:31:58,4963.23,20417.18,4720.49,4814.9,112.15,26.61,188.03,3608.87
results/hc_test_benchmarks/r0012/216_10.bmk,1911.0803,0:31:51,4867.79,20407.43,4704.39,4781.23,290.41,26.07,187.88,3591.07
results/hc_test_benchmarks/r0012/216_2.bmk,2023.2058,0:33:43,5017.07,20412.46,4789.56,4898.11,7.06,26.39,184.51,3733.73
results/hc_test_benchmarks/r0012/216_3.bmk,1880.5367,0:31:20,4903.6,20412.57,4694.33,4776.91,129.89,27.03,187.59,3528.28
results/hc_test_benchmarks/r0012/216_4.bmk,1956.3369,0:32:36,4538.76,20414.32,4298.05,4365.39,394.2,27.17,191.36,3744.15
results/hc_test_benchmarks/r0012/216_5.bmk,2138.2744,0:35:38,4971.3,20414.73,4727.71,4795.7,42.12,26.5,184.37,3942.87
results/hc_test_benchmarks/r0012/216_6.bmk,1859.22,0:30:59,4374.99,20414.55,4195.68,4271.81,305.09,26.2,188.01,3496.02
results/hc_test_benchmarks/r0012/216_7.bmk,1876.9245,0:31:16,3802.2,20405.2,3645.38,3718.63,360.49,25.72,185.77,3487.23
results/hc_test_benchmarks/r0012/216_8.bmk,1899.0365,0:31:39,4745.06,20407.87,4591.82,4663.73,244.72,25.45,183.04,3476.77
results/hc_test_benchmarks/r0012/216_9.bmk,1861.0135,0:31:01,3596.9,20413.35,3427.17,3507.09,280.07,26.25,190.61,3547.63
results/hc_test_benchmarks/r0012/24_1.bmk,83.9208,0:01:23,1966.38,20052.72,1902.12,1917.98,120.85,4.29,195.4,164.46
results/hc_test_benchmarks/r0012/24_10.bmk,117.223,0:01:57,1916.54,20045.09,1854.04,1869.98,241.88,4.46,184.96,217.32
results/hc_test_benchmarks/r0012/24_2.bmk,137.8537,0:02:17,1368.03,20038.12,1309.93,1323.9,108.84,4.45,198.51,274.12
results/hc_test_benchmarks/r0012/24_3.bmk,86.3313,0:01:26,1898.51,20054.41,1830.86,1848.87,117.29,4.6,184.38,159.75
results/hc_test_benchmarks/r0012/24_4.bmk,94.7765,0:01:34,1847.95,20051.57,1781.46,1798.72,109.47,4.17,177.61,168.88
results/hc_test_benchmarks/r0012/24_5.bmk,117.3512,0:01:57,2058.72,20042.99,1996.33,2011.71,132.78,4.34,177.33,208.68
results/hc_test_benchmarks/r0012/24_6.bmk,86.498,0:01:26,1916.07,20053.24,1849.65,1867.23,109.83,4.3,198.74,172.47
results/hc_test_benchmarks/r0012/24_7.bmk,88.8446,0:01:28,1782.74,20050.16,1718.13,1734.21,131.18,4.29,176.73,157.68
results/hc_test_benchmarks/r0012/24_8.bmk,90.255,0:01:30,1841.16,20057.9,1771.94,1788.93,127.91,4.3,189.69,171.76
results/hc_test_benchmarks/r0012/24_9.bmk,103.8572,0:01:43,1929.06,20048.91,1864.09,1877.03,169.85,4.22,160.44,167.23
results/hc_test_benchmarks/r0012/240_1.bmk,2342.4781,0:39:02,5014.16,20452.34,5000.66,5003.84,308.58,29.66,183.76,4305.26
results/hc_test_benchmarks/r0012/240_10.bmk,2350.5768,0:39:10,5055.67,20452.34,4843.01,4926.58,203.25,29.54,183.75,4319.75
results/hc_test_benchmarks/r0012/240_2.bmk,2280.0529,0:38:00,4819.82,20452.34,4650.6,4730.35,317.24,29.61,186.59,4255.01
results/hc_test_benchmarks/r0012/240_3.bmk,2335.7047,0:38:55,5282.52,20452.34,5085.89,5179.19,226.16,29.61,185.75,4339.01
results/hc_test_benchmarks/r0012/240_4.bmk,2302.9833,0:38:22,5048.52,20452.34,4794.86,4881.44,57.65,29.61,187.45,4317.62
results/hc_test_benchmarks/r0012/240_5.bmk,2365.2185,0:39:25,5202.18,20452.34,4953.24,5050.87,411.1,29.64,187.47,4434.6
results/hc_test_benchmarks/r0012/240_6.bmk,2274.6298,0:37:54,5014.84,20452.34,4790.95,4883.74,213.09,29.68,188.48,4287.7
results/hc_test_benchmarks/r0012/240_7.bmk,2397.0773,0:39:57,5292.91,20452.34,5278.82,5282.12,234.93,29.85,183.58,4400.93
results/hc_test_benchmarks/r0012/240_8.bmk,2390.8134,0:39:50,4899.88,20452.34,4885.89,4889.2,249.62,29.43,182.6,4365.85
results/hc_test_benchmarks/r0012/240_9.bmk,2373.7542,0:39:33,5200.08,20452.34,5065.27,5068.37,241.16,29.62,182.96,4343.39
results/hc_test_benchmarks/r0012/36_1.bmk,162.1223,0:02:42,2542.36,20071.62,2466.63,2483.75,251.05,5.02,158.36,257.21
results/hc_test_benchmarks/r0012/36_10.bmk,164.4097,0:02:44,2754.15,20074.3,2676.56,2693.46,247.93,5.24,158.7,261.27
results/hc_test_benchmarks/r0012/36_2.bmk,198.7354,0:03:18,2613.02,20066.16,2542.5,2556.7,194.64,5.75,195.77,389.39
results/hc_test_benchmarks/r0012/36_3.bmk,144.1326,0:02:24,2627.96,20073.04,2552.14,2568.14,205.95,5.46,181.72,262.23
results/hc_test_benchmarks/r0012/36_4.bmk,192.0155,0:03:12,2544.86,20061.44,2474.6,2489.37,193.23,5.21,168.46,323.77
results/hc_test_benchmarks/r0012/36_5.bmk,147.8177,0:02:27,2615.65,20078.63,2536.42,2555.62,373.01,5.35,179.27,265.32
results/hc_test_benchmarks/r0012/36_6.bmk,191.4462,0:03:11,2696.94,20068.68,2625.06,2645.11,199.52,5.38,166.59,319.22
results/hc_test_benchmarks/r0012/36_7.bmk,166.5689,0:02:46,3073.07,20074.18,2997.79,3020.27,145.05,5.87,189.67,316.27
results/hc_test_benchmarks/r0012/36_8.bmk,213.0929,0:03:33,2544.96,20062.64,2482.62,2499.12,150.55,5.59,184.11,393
results/hc_test_benchmarks/r0012/36_9.bmk,129.8444,0:02:09,2424.79,20075.46,2347.59,2366.07,216.14,4.97,154.34,200.71
results/hc_test_benchmarks/r0012/4_1.bmk,29.373,0:00:29,1002.07,20011.46,957.23,964.74,40.61,3.23,152.49,45.29
results/hc_test_benchmarks/r0012/4_10.bmk,28.1585,0:00:28,1057.34,20012.09,1018.34,1025.67,13.73,3.3,162.1,46.29
results/hc_test_benchmarks/r0012/4_2.bmk,36.1299,0:00:36,1040.39,20006.52,996.01,1003.49,22.72,3.2,120.66,44.06
results/hc_test_benchmarks/r0012/4_3.bmk,32.9501,0:00:32,962.27,20008.83,918.11,925.49,31.88,3.35,140.08,46.79
results/hc_test_benchmarks/r0012/4_4.bmk,36.6673,0:00:36,1075.09,20006.49,1030.53,1037.96,22.67,3.2,121.91,45.23
results/hc_test_benchmarks/r0012/4_5.bmk,25.5537,0:00:25,1008.34,20011.46,961.41,970.06,40.43,3.24,182.88,47.32
results/hc_test_benchmarks/r0012/4_6.bmk,24.5418,0:00:24,1070.61,20013.48,1025.61,1033.65,27.25,3.27,179.16,44.56
results/hc_test_benchmarks/r0012/4_7.bmk,24.7049,0:00:24,1091.56,20011.36,1047.57,1055.04,17.3,3.31,194.26,48.65
results/hc_test_benchmarks/r0012/4_8.bmk,27.7445,0:00:27,1008.16,20009.14,963.09,970.87,30.57,3.25,156.57,43.96
results/hc_test_benchmarks/r0012/4_9.bmk,24.8857,0:00:24,1040.99,20008.98,998.54,1005.26,31.57,3.3,189.46,47.66
results/hc_test_benchmarks/r0012/48_1.bmk,213.6725,0:03:33,2863.84,20097.5,2780.62,2809,286.77,6.46,177.35,379.26
results/hc_test_benchmarks/r0012/48_10.bmk,282.6561,0:04:42,3494.1,20085.1,3417.13,3443.87,159.89,6.31,166.13,470.03
results/hc_test_benchmarks/r0012/48_2.bmk,261.4833,0:04:21,2985.45,20093.66,2899.96,2922.75,73.23,6.15,182.66,478.34
results/hc_test_benchmarks/r0012/48_3.bmk,238.5341,0:03:58,3236.63,20098.2,3147.49,3171.9,84.75,6.23,173.37,414.26
results/hc_test_benchmarks/r0012/48_4.bmk,193.7373,0:03:13,3267.25,20112.16,3175.64,3203.57,209.66,5.98,149.69,290.33
results/hc_test_benchmarks/r0012/48_5.bmk,240.6236,0:04:00,2094.91,20088.52,2013.38,2041.76,224.44,6.16,176.54,424.83
results/hc_test_benchmarks/r0012/48_6.bmk,172.7637,0:02:52,2041.13,20111.95,1945.45,1976.18,219.18,6.97,181.11,312.96
results/hc_test_benchmarks/r0012/48_7.bmk,214.0083,0:03:34,1430.72,20098.12,1341.29,1365.84,227.74,6.12,170.67,365.73
results/hc_test_benchmarks/r0012/48_8.bmk,270.9807,0:04:30,2604.89,20081.04,2532.96,2557.48,253.57,6.48,188.65,511.63
results/hc_test_benchmarks/r0012/48_9.bmk,196.239,0:03:16,2819.26,20105.98,2727.29,2751.35,72.92,6.14,161.57,317.68
results/hc_test_benchmarks/r0012/72_1.bmk,417.257,0:06:57,3174.06,20130.61,3069.04,3098.72,377.91,8.58,190.24,794.34
results/hc_test_benchmarks/r0012/72_10.bmk,391.1288,0:06:31,1399.67,20135.71,1293.09,1324.62,280.26,8.68,189.13,740.31
results/hc_test_benchmarks/r0012/72_2.bmk,382.8018,0:06:22,3005.18,20136.45,2897.18,2919.93,333.36,8.43,184.83,708.25
results/hc_test_benchmarks/r0012/72_3.bmk,397.9902,0:06:37,3008.1,20133.77,2908.35,2942.41,307.44,8.03,179.33,714.2
results/hc_test_benchmarks/r0012/72_4.bmk,359.4945,0:05:59,2339.01,20150.54,2227.54,2266.58,301.95,9.31,185.98,669.03
results/hc_test_benchmarks/r0012/72_5.bmk,389.146,0:06:29,3017.03,20139.57,2910.23,2948.63,292.07,8.8,190.82,743.23
results/hc_test_benchmarks/r0012/72_6.bmk,369.4902,0:06:09,2794.35,20138.95,2687.75,2724.91,307.57,8.62,179.07,662.2
results/hc_test_benchmarks/r0012/72_7.bmk,358.2566,0:05:58,2821.93,20154.71,2704.87,2745.78,302.13,9.31,189.2,678.41
results/hc_test_benchmarks/r0012/72_8.bmk,357.0916,0:05:57,2841.35,20149.21,2725.95,2766.09,328.9,8.75,181.85,649.88
results/hc_test_benchmarks/r0012/72_9.bmk,357.7515,0:05:57,2929.93,20139.45,2820.14,2858.55,284.07,8.53,181.87,651.34
results/hc_test_benchmarks/r0012/8_1.bmk,38.6521,0:00:38,1131.55,20021.43,1087.45,1094.85,42.75,3.28,118.58,46.34
results/hc_test_benchmarks/r0012/8_10.bmk,43.7046,0:00:43,1044.96,20019.66,1002.38,1009.2,48.08,3.26,100.64,44.3
results/hc_test_benchmarks/r0012/8_2.bmk,43.8658,0:00:43,1092,20019.43,1049.03,1055.84,46.13,3.28,99.51,43.98
results/hc_test_benchmarks/r0012/8_3.bmk,53.9539,0:00:53,1683.86,20013.43,1636.35,1644.32,51.16,3.53,210.97,114.15
results/hc_test_benchmarks/r0012/8_4.bmk,38.7818,0:00:38,1053.64,20019.62,1009.66,1017.06,66.25,3.27,114.46,44.68
results/hc_test_benchmarks/r0012/8_5.bmk,36.7719,0:00:36,1099.94,20019.28,1056.05,1063.47,34.38,3.29,122.43,45.71
results/hc_test_benchmarks/r0012/8_6.bmk,39.2175,0:00:39,1023.61,20018.97,978.71,986.63,100.8,3.27,115.87,45.76
results/hc_test_benchmarks/r0012/8_7.bmk,36.913,0:00:36,1166.21,20019.12,1121.39,1129.12,35.8,3.35,118.89,44.57
results/hc_test_benchmarks/r0012/8_8.bmk,23.1259,0:00:23,1169.22,20026.46,1125.59,1132.96,69.53,3.27,200,46.59
results/hc_test_benchmarks/r0012/8_9.bmk,27.1003,0:00:27,1135.07,20021.36,1090.27,1098.14,118.98,3.27,173.24,47.27
results/hc_test_benchmarks/r0012/96_1.bmk,595.1482,0:09:55,3242.47,20176.87,3115.36,3150.11,408.31,10.88,194.33,1157.15
results/hc_test_benchmarks/r0012/96_10.bmk,682.4993,0:11:22,3748,20181.91,3636.82,3677.58,237.34,11.89,191.57,1308.16
results/hc_test_benchmarks/r0012/96_2.bmk,564.6064,0:09:24,3076.2,20180.13,2946.49,2980.45,413.01,10.93,187.4,1058.66
results/hc_test_benchmarks/r0012/96_3.bmk,629.4767,0:10:29,3020.45,20171.33,2895.91,2934.31,367.41,10.95,194.28,1223.57
results/hc_test_benchmarks/r0012/96_4.bmk,565.0135,0:09:25,3455.34,20188.77,3324.27,3355.87,408.21,11.13,190.35,1075.92
results/hc_test_benchmarks/r0012/96_5.bmk,515.1173,0:08:35,3193.24,20201.17,3054.08,3090.88,381.33,11.29,185.56,956.17
results/hc_test_benchmarks/r0012/96_6.bmk,594.9537,0:09:54,3370.97,20181.8,3241.73,3277.85,402.94,11.1,190.75,1135.21
results/hc_test_benchmarks/r0012/96_7.bmk,564.9284,0:09:24,3245.72,20184.67,3114.15,3155.47,361.1,11.32,190.82,1078.75
results/hc_test_benchmarks/r0012/96_8.bmk,565.6804,0:09:25,3348.61,20187.15,3240.01,3279.76,372.28,11.11,193.51,1094.98
results/hc_test_benchmarks/r0012/96_9.bmk,613.101,0:10:13,3351.36,20176.33,3238.57,3277.57,498.32,11.19,188.81,1158
